Date,energydemand,min temparature,max temparature
2018-03-20,8232,23.09,35.23
2018-03-21,8383,23.86,35.04
2018-03-22,8424,24.99,36.08
2018-03-23,8741,25.55,36.44
2018-03-24,8730,26.04,37.0
2018-03-25,8472,25.15,35.71
2018-03-26,8817,24.07,34.76
2018-03-27,8853,24.26,35.0
2018-03-28,8844,24.79,35.68
2018-03-29,8907,26.19,36.25
2018-03-30,8852,26.18,36.3
2018-03-31,8379,26.29,36.13
